word
!!
"!,"
"',"
.́
.“
.”
10
2
3
4
5
6
7
8
9
A
Aa
Acy
Akanu
Akeka
Akepeŋ
Akhu
Andʉ
Anino
Apu
Apɔ
Asalaka
Asiyakne
Atsaŋ
Awɔ
Awɔɔn
Awɛ
Azeé
Azoon
Aŋka
Bafou
Cwìwú
Dāŋtə
Efy
Efɔmekə
Efɔtɔ
Efɔɔ
Epaate
Epu
Epɔ
Eze
Ezeŋ
Fo
Gʉa
Ja
Ka
Kekɛ
Klɔde
Ku
Kɛ
Lenɔ
Lepūm
Leshʉ
Lezek
Lezeŋ
Lezi
Lezí
M
Mata
Matu
Mbapndo
Mbu
Mbǎ
Me
Medɔ
Mekwɔ
Mena
Menɔŋɔ
Meto
Meza
Mpɛ
Mvho
Mèŋe
Míá
Mɔ
Mə
Mɛ
Mɛkʉŋmɔ
Mɛŋgi
N
Na
Natema
Nde
Ndɛʼ
Ndʉ
Ngie
Ngu
Njhʉ
Nnu
Nnɔ
Nti
Ntsə
Ntɔɔ
Ntʉɔ
Nziŋ
Nzəmɛla
O
Org
Pa
Pek
Pfhɔaŋkʉɔ
Pi
Pu
Pán
Pəkə
RESULAM
Sesia
Seŋ
Seŋgap
Shu
Shyə
Soŋnkwɛ
Sɔɔn
Sə
Sɛ
To
Tsɔ
Tà
Tɔŋ
Tɛnyi
Wɛ
Yémba
Yɛ
Zhɛ
a
aa
aamɛɛn
afa
afwɛt
agw
aju
ajʉ
ake
akelàk
akelɔ
akesàla
akezo
aklatúsi
aklεsíiŋ
akwεlε
akwεm
akɔ
akɛndɔŋɔ
akɛt
ala
alaʼ
ale
aleŋ
aligli
alā
alēba
alēsa
ampfo
anenɔ
apa
apak
aplεŋgӛ
apu
apɔ
apʉɛnne
asalaka
ashushuŋ
ashuŋne
asikúu
asisoŋ
asitɔ
asoŋli
ate
ath
atswhi
atɔŋɔmvéŋ
atʉ
atӛ
awe
aweg
awu
awɔ
ayiŋne
ayɔɔn
azek
aziέ
azo
azwagli
azwakne
azō
aŋ
aŋiŋia
aŋklɔ
b
ba
bi
biŋ
bu
bía
bú
búmə
búú
cu
cwī
cy
cʉ
cʉŋte
cʉε
d
da
du
dāa
dāŋtī
dɔk
dʉ
e
efaʼ
efek
efho
efwɔ
efɔ
egi
egʉɔ
eko
eleʼe
emɔʼ
en
epuɔ
esaá
eshhʉ
eshu
eshʉɔ
esi
esoh
eswia
esyak
esɛ
et
eti
etsoók
ewiέ
ewée
eya
eye
eyeg
eyi
eza
ezi
fa
faa
faʼa
fe
fhù
fi
fimbaŋglási
fo
fu
féem
fókó
fɔ
fʉ
g
ga
ge
ghɔ
ghʉ
gi
gie
gu
gw
gwaa
gwe
gwo
gwɔ
gy
gya
gyɔ
gó
gókó
gē
gɔ
gɔ1
gɔɔn
gɛ
gʉ
gʉa
háŋyaŋ
hɛ
i
ie
ju
jʉ
jʉɔ
jʉʼɔɔn
k
ka
kaa
ke
kekɛ
kne
ko
ku
kuʼ
kw
kwa
kwɔ
kwɛtɛ
kya
kyɛt
kápínda
kúum
kû
kɔ
kɔʼɔ
kɛné
kʉ
kὲ
kέsiŋ
la
laa
laʼa
le
lee
leghimbú
