word
Abím
Anə
Atádigi
Bëtará
Bɔ
Dzé
E
Edǐŋ
Efà
Eyɔn
Kamə
Kamərún
Kyɛ
M
Ma
Mbəmbə
Mesulí
Minsílí
Má
Mëkɔŋ
Mínə
Mə
Mənә
N
Ndəm
O
Onә
Tə
Tətələ
Wa
Zá
Ză
a
afidí
ai
akia
anyǎŋ
bí
bóe
ból
băn
bōg
bɔ
bə
bəmbə
bəmvámbá
bә
dzoe
dzoé
dzób
dzóbo
dzāán
dzәŋ
dáan
dúgán
dī
dəda
ediŋ
edǐŋ
efúb
etsígā
evɔ
faŋ
filí
fūlǎn
fɔ
fə
g
ga
gə
kmáān
kui
kwí
káləga
kɔ
kə
kələg
lō
m
ma
mam
menә
minkunda
minnəm
minsílí
minyón
mod
mvoé
mvús
mvɔ
mëkɔŋ
mëlú
mí
mínә
mə
n
na
naa
nam
nfә
ngɔ
nló
nyî
nyɔ
nâ
nǎm
nə
o
olugú
onә
rún
sí
sílí
sî
sɔ
sə
tág
tám
tələ
tεgε
tә
víbi
və
wa
woé
wulu
wǎ
wǎn
wɔ
yi
yâyean
yā
yә
zá
ză
Á
á
ábúg
ásə
ázāaŋ
é
êfas
ó
ósū
ŋ
Ǎ
ǎ
ǹnam
ɔ
ə
̀
́
̄
̌
