word
A
Djob
Hèmblè
Ma
Mè
Nyambè
Sôhô
Wènu
ba
bon
bégués
bôn
hola
humul
i
kèl
kônangô
lô
mabôn
mapubi
mè
mèm
nlondol
nyambè
si
u
wè
wèm
yé
